tile,glyph,layers,point_count,classification,intensity_mean,intensity_std,location,name,geometry
MDS_color_2122-212.laz,🌍 ⛰️ 🌲 🌱 🌥️ 🌀 🌀,"{'density': '🌍', 'surface': ['⛰️', '🌲'], 'vegetation': ['🌱'], 'urban': [], 'intensity': ['🌥️'], 'mystery': ['🌀', '🌀'], 'alert': []}",7031146,"{2: 16057, 5: 2574717, 19: 4308971, 20: 131401}",40.58,19.28,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 319335.4, 'xmax': 319876.56, 'ymin': 7344055.51, 'ymax': 7344642.99}, 'centroid': [319608.75, 7344338.5]}",MDS_color_2122-212.laz,"POLYGON ((319335.4 7344055.51, 319876.56 7344055.51, 319876.56 7344642.99, 319335.4 7344642.99, 319335.4 7344055.51))"
MDS_color_2122-214.laz,🌍 ❔ ⛰️ 🌲 🌥️ 🌀 🌀 🚨,"{'density': '🌍', 'surface': ['❔', '⛰️', '🌲'], 'vegetation': [], 'urban': [], 'intensity': ['🌥️'], 'mystery': ['🌀', '🌀'], 'alert': ['🚨']}",7799392,"{1: 108374, 2: 5144, 5: 1117551, 19: 6539910, 20: 28413}",30.51,17.02,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 319342.68, 'xmax': 319883.82, 'ymin': 7343507.11, 'ymax': 7344066.17}, 'centroid': [319669.8, 7343834.9]}",MDS_color_2122-214.laz,"POLYGON ((319342.68 7343507.11, 319883.82 7343507.11, 319883.82 7344066.17, 319342.68 7344066.17, 319342.68 7343507.11))"
MDS_color_2122-221.laz,🌍 ⛰️ 🌲 🌲 🌿 🌥️ 🌀 🌀,"{'density': '🌍', 'surface': ['⛰️', '🌲'], 'vegetation': ['🌲', '🌿'], 'urban': [], 'intensity': ['🌥️'], 'mystery': ['🌀', '🌀'], 'alert': []}",7103091,"{2: 31146, 5: 4362043, 19: 2283191, 20: 426711}",43.19,18.0,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 319865.32, 'xmax': 320406.46, 'ymin': 7344062.18, 'ymax': 7344649.65}, 'centroid': [320128.57, 7344349.48]}",MDS_color_2122-221.laz,"POLYGON ((319865.32 7344062.18, 320406.46 7344062.18, 320406.46 7344649.65, 319865.32 7344649.65, 319865.32 7344062.18))"
MDS_color_2122-222.laz,🌍 ❔ ⛰️ 🌲 🌲 🌿 🌥️ 🌀 🌀,"{'density': '🌍', 'surface': ['❔', '⛰️', '🌲'], 'vegetation': ['🌲', '🌿'], 'urban': [], 'intensity': ['🌥️'], 'mystery': ['🌀', '🌀'], 'alert': []}",12091700,"{1: 1246220, 2: 25947, 5: 6330901, 19: 4381446, 20: 107186}",39.55,19.65,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 320395.24, 'xmax': 320936.35, 'ymin': 7344068.84, 'ymax': 7344656.28}, 'centroid': [320680.29, 7344327.65]}",MDS_color_2122-222.laz,"POLYGON ((320395.24 7344068.84, 320936.35 7344068.84, 320936.35 7344656.28, 320395.24 7344656.28, 320395.24 7344068.84))"
MDS_color_2122-223.laz,🌍 ❔ ⛰️ 🌲 🌥️ 🌀 🌀,"{'density': '🌍', 'surface': ['❔', '⛰️', '🌲'], 'vegetation': [], 'urban': [], 'intensity': ['🌥️'], 'mystery': ['🌀', '🌀'], 'alert': []}",12101880,"{1: 282621, 2: 9739, 5: 2132501, 19: 9619570, 20: 57449}",33.51,17.39,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 319872.57, 'xmax': 320413.69, 'ymin': 7343492.96, 'ymax': 7344072.83}, 'centroid': [320128.75, 7343799.07]}",MDS_color_2122-223.laz,"POLYGON ((319872.57 7343492.96, 320413.69 7343492.96, 320413.69 7344072.83, 319872.57 7344072.83, 319872.57 7343492.96))"
MDS_color_2122-231.laz,🌍 ❔ ⛰️ 🌲 🌱 🌥️ 🌀 🌀,"{'density': '🌍', 'surface': ['❔', '⛰️', '🌲'], 'vegetation': ['🌱'], 'urban': [], 'intensity': ['🌥️'], 'mystery': ['🌀', '🌀'], 'alert': []}",9397490,"{1: 328129, 2: 16373, 5: 3002075, 19: 5978755, 20: 72158}",35.58,19.38,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 320925.15, 'xmax': 321466.24, 'ymin': 7344075.47, 'ymax': 7344662.9}, 'centroid': [321188.53, 7344365.88]}",MDS_color_2122-231.laz,"POLYGON ((320925.15 7344075.47, 321466.24 7344075.47, 321466.24 7344662.9, 320925.15 7344662.9, 320925.15 7344075.47))"
MDS_color_2222-211.laz,🌍 ⛰️ 🌲 🏠 🏚️ 🌥️ ⚡ 🌀 🌀,"{'density': '🌍', 'surface': ['⛰️', '🌲', '🏠'], 'vegetation': [], 'urban': ['🏚️'], 'intensity': ['🌥️', '⚡'], 'mystery': ['🌀', '🌀'], 'alert': []}",5680625,"{2: 61983, 5: 231342, 6: 657214, 19: 4329383, 20: 400703}",41.05,25.69,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 318456.99, 'xmax': 318999.12, 'ymin': 7371735.91, 'ymax': 7372323.35}, 'centroid': [318740.52, 7372080.92]}",MDS_color_2222-211.laz,"POLYGON ((318456.99 7371735.91, 318999.12 7371735.91, 318999.12 7372323.35, 318456.99 7372323.35, 318456.99 7371735.91))"
MDS_color_2222-212.laz,🌍 ⛰️ 🌲 🏠 🌱 🏚️ 🌥️ ⚡ 🌀 🌀,"{'density': '🌍', 'surface': ['⛰️', '🌲', '🏠'], 'vegetation': ['🌱'], 'urban': ['🏚️'], 'intensity': ['🌥️', '⚡'], 'mystery': ['🌀', '🌀'], 'alert': []}",5556802,"{2: 352671, 5: 1486152, 6: 992714, 19: 404636, 20: 2320629}",41.59,27.5,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 318987.92, 'xmax': 319530.03, 'ymin': 7371742.55, 'ymax': 7372329.97}, 'centroid': [319251.84, 7372098.7]}",MDS_color_2222-212.laz,"POLYGON ((318987.92 7371742.55, 319530.03 7371742.55, 319530.03 7372329.97, 318987.92 7372329.97, 318987.92 7371742.55))"
MDS_color_2222-221.laz,📦 ⛰️ 🌲 🌥️ ⚡ 🌀 🌀,"{'density': '📦', 'surface': ['⛰️', '🌲'], 'vegetation': [], 'urban': [], 'intensity': ['🌥️', '⚡'], 'mystery': ['🌀', '🌀'], 'alert': []}",2223863,"{2: 304323, 5: 42323, 19: 75976, 20: 1801241}",43.21,27.37,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 319518.86, 'xmax': 320060.95, 'ymin': 7371749.17, 'ymax': 7372336.57}, 'centroid': [319686.48, 7372142.85]}",MDS_color_2222-221.laz,"POLYGON ((319518.86 7371749.17, 320060.95 7371749.17, 320060.95 7372336.57, 319518.86 7372336.57, 319518.86 7371749.17))"
MDS_color_2222-222.laz,📦 ⛰️ 🌲 🏠 🌲 🌿 🏚️ 🌥️ 🌀 🌀,"{'density': '📦', 'surface': ['⛰️', '🌲', '🏠'], 'vegetation': ['🌲', '🌿'], 'urban': ['🏚️'], 'intensity': ['🌥️'], 'mystery': ['🌀', '🌀'], 'alert': []}",4545348,"{2: 248438, 5: 2778276, 6: 33518, 19: 290907, 20: 1194209}",36.33,24.22,"{'utm_zone': 'EPSG:31983', 'bounding_box': {'xmin': 320049.79, 'xmax': 320591.86, 'ymin': 7371755.78, 'ymax': 7372343.15}, 'centroid': [320425.29, 7372030.04]}",MDS_color_2222-222.laz,"POLYGON ((320049.79 7371755.78, 320591.86 7371755.78, 320591.86 7372343.15, 320049.79 7372343.15, 320049.79 7371755.78))"
