name,geometry,centroid_x,centroid_y
MDS_color_2122-211.laz,"POLYGON ((319234.36 7344055.51, 319339.4 7344055.51, 319339.4 7344542.3, 319234.36 7344542.3, 319234.36 7344055.51))",319286.88,7344298.905
MDS_color_2122-212.laz,"POLYGON ((319335.4 7344055.51, 319876.56 7344055.51, 319876.56 7344642.99, 319335.4 7344642.99, 319335.4 7344055.51))",319605.98,7344349.249999999
MDS_color_2122-213.laz,"POLYGON ((319273.57 7343938.32, 319353.95 7343938.32, 319353.95 7344059.5, 319273.57 7344059.5, 319273.57 7343938.32))",319313.75999999995,7343998.91
MDS_color_2122-214.laz,"POLYGON ((319342.68 7343507.11, 319883.82 7343507.11, 319883.82 7344066.17, 319342.68 7344066.17, 319342.68 7343507.11))",319613.25,7343786.6400000015
MDS_color_2122-221.laz,"POLYGON ((319865.32 7344062.18, 320406.46 7344062.18, 320406.46 7344649.65, 319865.32 7344649.65, 319865.32 7344062.18))",320135.89,7344355.915000001
MDS_color_2122-222.laz,"POLYGON ((320395.24 7344068.84, 320936.35 7344068.84, 320936.35 7344656.28, 320395.24 7344656.28, 320395.24 7344068.84))",320665.795,7344362.560000001
MDS_color_2122-223.laz,"POLYGON ((319872.57 7343492.96, 320413.69 7343492.96, 320413.69 7344072.83, 319872.57 7344072.83, 319872.57 7343492.96))",320143.12999999995,7343782.895
MDS_color_2122-224.laz,"POLYGON ((320402.47 7343856.67, 320943.56 7343856.67, 320943.56 7344079.46, 320402.47 7344079.46, 320402.47 7343856.67))",320673.01499999996,7343968.065
MDS_color_2122-231.laz,"POLYGON ((320925.15 7344075.47, 321466.24 7344075.47, 321466.24 7344662.9, 320925.15 7344662.9, 320925.15 7344075.47))",321195.695,7344369.1850000005
MDS_color_2122-232.laz,"POLYGON ((321455.06 7344153.16, 321943.32 7344153.16, 321943.32 7344669.49, 321455.06 7344669.49, 321455.06 7344153.16))",321699.18999999994,7344411.325000001
MDS_color_2122-233.laz,"POLYGON ((320932.36 7343960.2, 321326.07 7343960.2, 321326.07 7344086.08, 320932.36 7344086.08, 320932.36 7343960.2))",321129.21499999997,7344023.139999999
MDS_color_2122-251.laz,"POLYGON ((319977.28 7343492.96, 320054.02 7343492.96, 320054.02 7343496.01, 319977.28 7343496.01, 319977.28 7343492.96))",320015.65,7343494.484999999
MDS_color_2222-131.laz,"POLYGON ((317833.82 7372271.03, 317937.28 7372271.03, 317937.28 7372310.05, 317833.82 7372310.05, 317833.82 7372271.03))",317885.55000000005,7372290.540000001
MDS_color_2222-132.laz,"POLYGON ((317926.05 7371873.87, 318468.2 7371873.87, 318468.2 7372316.71, 317926.05 7372316.71, 317926.05 7371873.87))",318197.125,7372095.29
MDS_color_2222-162.laz,"POLYGON ((318478.98 7370575.66, 318482.66 7370575.66, 318482.66 7370582, 318478.98 7370582, 318478.98 7370575.66))",318480.81999999995,7370578.83
MDS_color_2222-163.laz,"POLYGON ((317474.53 7369992.14, 317959.03 7369992.14, 317959.03 7370367.96, 317474.53 7370367.96, 317474.53 7369992.14))",317716.78,7370180.05
MDS_color_2222-164.laz,"POLYGON ((317947.79 7369998.83, 318489.88 7369998.83, 318489.88 7370586.24, 317947.79 7370586.24, 317947.79 7369998.83))",318218.83499999996,7370292.535
MDS_color_2222-211.laz,"POLYGON ((318456.99 7371735.91, 318999.12 7371735.91, 318999.12 7372323.35, 318456.99 7372323.35, 318456.99 7371735.91))",318728.05500000005,7372029.63
MDS_color_2222-212.laz,"POLYGON ((318987.92 7371742.55, 319530.03 7371742.55, 319530.03 7372329.97, 318987.92 7372329.97, 318987.92 7371742.55))",319258.9749999999,7372036.26
MDS_color_2222-213.laz,"POLYGON ((318626.9 7371531.59, 319006.32 7371531.59, 319006.32 7371746.54, 318626.9 7371746.54, 318626.9 7371531.59))",318816.61,7371639.065
MDS_color_2222-214.laz,"POLYGON ((318995.13 7371165.75, 319537.22 7371165.75, 319537.22 7371753.17, 318995.13 7371753.17, 318995.13 7371165.75))",319266.175,7371459.46
MDS_color_2222-221.laz,"POLYGON ((319518.86 7371749.17, 320060.95 7371749.17, 320060.95 7372336.57, 319518.86 7372336.57, 319518.86 7371749.17))",319789.905,7372042.869999999
MDS_color_2222-222.laz,"POLYGON ((320049.79 7371755.78, 320591.86 7371755.78, 320591.86 7372343.15, 320049.79 7372343.15, 320049.79 7371755.78))",320320.82499999995,7372049.465
MDS_color_2222-223.laz,"POLYGON ((319526.04 7371172.37, 320068.11 7371172.37, 320068.11 7371759.77, 319526.04 7371759.77, 319526.04 7371172.37))",319797.07499999995,7371466.07
