name,geometry_wkt
MDS_color_2122-211.laz,"POLYGON ((319234.36 7344055.51, 319339.4 7344055.51, 319339.4 7344542.3, 319234.36 7344542.3, 319234.36 7344055.51))"
MDS_color_2122-212.laz,"POLYGON ((319335.4 7344055.51, 319876.56 7344055.51, 319876.56 7344642.99, 319335.4 7344642.99, 319335.4 7344055.51))"
MDS_color_2122-213.laz,"POLYGON ((319273.57 7343938.32, 319353.95 7343938.32, 319353.95 7344059.5, 319273.57 7344059.5, 319273.57 7343938.32))"
MDS_color_2122-214.laz,"POLYGON ((319342.68 7343507.11, 319883.82 7343507.11, 319883.82 7344066.17, 319342.68 7344066.17, 319342.68 7343507.11))"
MDS_color_2122-221.laz,"POLYGON ((319865.32 7344062.18, 320406.46 7344062.18, 320406.46 7344649.65, 319865.32 7344649.65, 319865.32 7344062.18))"
MDS_color_2122-222.laz,"POLYGON ((320395.24 7344068.84, 320936.35 7344068.84, 320936.35 7344656.28, 320395.24 7344656.28, 320395.24 7344068.84))"
MDS_color_2122-223.laz,"POLYGON ((319872.57 7343492.96, 320413.69 7343492.96, 320413.69 7344072.83, 319872.57 7344072.83, 319872.57 7343492.96))"
MDS_color_2122-224.laz,"POLYGON ((320402.47 7343856.67, 320943.56 7343856.67, 320943.56 7344079.46, 320402.47 7344079.46, 320402.47 7343856.67))"
MDS_color_2122-231.laz,"POLYGON ((320925.15 7344075.47, 321466.24 7344075.47, 321466.24 7344662.9, 320925.15 7344662.9, 320925.15 7344075.47))"
MDS_color_2122-232.laz,"POLYGON ((321455.06 7344153.16, 321943.32 7344153.16, 321943.32 7344669.49, 321455.06 7344669.49, 321455.06 7344153.16))"
MDS_color_2122-233.laz,"POLYGON ((320932.36 7343960.2, 321326.07 7343960.2, 321326.07 7344086.08, 320932.36 7344086.08, 320932.36 7343960.2))"
MDS_color_2122-251.laz,"POLYGON ((319977.28 7343492.96, 320054.02 7343492.96, 320054.02 7343496.01, 319977.28 7343496.01, 319977.28 7343492.96))"
MDS_color_2222-131.laz,"POLYGON ((317833.82 7372271.03, 317937.28 7372271.03, 317937.28 7372310.05, 317833.82 7372310.05, 317833.82 7372271.03))"
MDS_color_2222-132.laz,"POLYGON ((317926.05 7371873.87, 318468.2 7371873.87, 318468.2 7372316.71, 317926.05 7372316.71, 317926.05 7371873.87))"
MDS_color_2222-162.laz,"POLYGON ((318478.98 7370575.66, 318482.66 7370575.66, 318482.66 7370582, 318478.98 7370582, 318478.98 7370575.66))"
MDS_color_2222-163.laz,"POLYGON ((317474.53 7369992.14, 317959.03 7369992.14, 317959.03 7370367.96, 317474.53 7370367.96, 317474.53 7369992.14))"
MDS_color_2222-164.laz,"POLYGON ((317947.79 7369998.83, 318489.88 7369998.83, 318489.88 7370586.24, 317947.79 7370586.24, 317947.79 7369998.83))"
MDS_color_2222-211.laz,"POLYGON ((318456.99 7371735.91, 318999.12 7371735.91, 318999.12 7372323.35, 318456.99 7372323.35, 318456.99 7371735.91))"
MDS_color_2222-212.laz,"POLYGON ((318987.92 7371742.55, 319530.03 7371742.55, 319530.03 7372329.97, 318987.92 7372329.97, 318987.92 7371742.55))"
MDS_color_2222-213.laz,"POLYGON ((318626.9 7371531.59, 319006.32 7371531.59, 319006.32 7371746.54, 318626.9 7371746.54, 318626.9 7371531.59))"
MDS_color_2222-214.laz,"POLYGON ((318995.13 7371165.75, 319537.22 7371165.75, 319537.22 7371753.17, 318995.13 7371753.17, 318995.13 7371165.75))"
MDS_color_2222-221.laz,"POLYGON ((319518.86 7371749.17, 320060.95 7371749.17, 320060.95 7372336.57, 319518.86 7372336.57, 319518.86 7371749.17))"
MDS_color_2222-222.laz,"POLYGON ((320049.79 7371755.78, 320591.86 7371755.78, 320591.86 7372343.15, 320049.79 7372343.15, 320049.79 7371755.78))"
MDS_color_2222-223.laz,"POLYGON ((319526.04 7371172.37, 320068.11 7371172.37, 320068.11 7371759.77, 319526.04 7371759.77, 319526.04 7371172.37))"
MDS_color_2222-224.laz,"POLYGON ((320056.96 7371178.97, 320599 7371178.97, 320599 7371766.35, 320056.96 7371766.35, 320056.96 7371178.97))"
MDS_color_2222-231.laz,"POLYGON ((320580.73 7371762.36, 321122.77 7371762.36, 321122.77 7372349.71, 320580.73 7372349.71, 320580.73 7371762.36))"
MDS_color_2222-232.laz,"POLYGON ((321111.66 7371768.92, 321653.68 7371768.92, 321653.68 7372356.26, 321111.66 7372356.26, 321111.66 7371768.92))"
MDS_color_2222-233.laz,"POLYGON ((320587.87 7371185.56, 321129.89 7371185.56, 321129.89 7371772.91, 320587.87 7371772.91, 320587.87 7371185.56))"
MDS_color_2222-234.laz,"POLYGON ((321118.78 7371192.12, 321660.78 7371192.12, 321660.78 7371779.46, 321118.78 7371779.46, 321118.78 7371192.12))"
MDS_color_2222-241.laz,"POLYGON ((318483.01 7370582.3, 319013.53 7370582.3, 319013.53 7370782.36, 318483.01 7370782.36, 318483.01 7370582.3))"
MDS_color_2222-242.laz,"POLYGON ((319002.33 7370588.94, 319544.4 7370588.94, 319544.4 7371176.36, 319002.33 7371176.36, 319002.33 7370588.94))"
MDS_color_2222-243.laz,"POLYGON ((318478.67 7370005.49, 319020.74 7370005.49, 319020.74 7370592.93, 318478.67 7370592.93, 318478.67 7370005.49))"
MDS_color_2222-244.laz,"POLYGON ((319009.54 7370012.14, 319551.59 7370012.14, 319551.59 7370599.56, 319009.54 7370599.56, 319009.54 7370012.14))"
MDS_color_2222-251.laz,"POLYGON ((319533.23 7370595.57, 320075.27 7370595.57, 320075.27 7371182.96, 319533.23 7371182.96, 319533.23 7370595.57))"
MDS_color_2222-252.laz,"POLYGON ((320064.12 7370602.17, 320606.15 7370602.17, 320606.15 7371189.55, 320064.12 7371189.55, 320064.12 7370602.17))"
MDS_color_2222-253.laz,"POLYGON ((319540.41 7370018.76, 320082.44 7370018.76, 320082.44 7370606.16, 319540.41 7370606.16, 319540.41 7370018.76))"
MDS_color_2222-254.laz,"POLYGON ((320071.28 7370025.37, 320613.29 7370025.37, 320613.29 7370612.75, 320071.28 7370612.75, 320071.28 7370025.37))"
MDS_color_2222-261.laz,"POLYGON ((320595.01 7370608.76, 321137.02 7370608.76, 321137.02 7371196.11, 320595.01 7371196.11, 320595.01 7370608.76))"
MDS_color_2222-262.laz,"POLYGON ((321125.9 7370615.32, 321667.88 7370615.32, 321667.88 7371202.66, 321125.9 7371202.66, 321125.9 7370615.32))"
MDS_color_2222-263.laz,"POLYGON ((320602.16 7370031.95, 321144.14 7370031.95, 321144.14 7370619.31, 320602.16 7370619.31, 320602.16 7370031.95))"
MDS_color_2222-264.laz,"POLYGON ((321133.03 7370038.52, 321674.99 7370038.52, 321674.99 7370625.86, 321133.03 7370625.86, 321133.03 7370038.52))"
MDS_color_2222-322.laz,"POLYGON ((317056.25 7369408.63, 317435.45 7369408.63, 317435.45 7369956.62, 317056.25 7369956.62, 317056.25 7369408.63))"
MDS_color_2222-324.laz,"POLYGON ((316960.89 7368831.82, 317442.72 7368831.82, 317442.72 7369419.32, 316960.89 7369419.32, 316960.89 7368831.82))"
MDS_color_2222-331.laz,"POLYGON ((317424.19 7369415.33, 317966.28 7369415.33, 317966.28 7370002.82, 317424.19 7370002.82, 317424.19 7369415.33))"
MDS_color_2222-332.laz,"POLYGON ((317955.04 7369422.02, 318497.12 7369422.02, 318497.12 7370009.48, 317955.04 7370009.48, 317955.04 7369422.02))"
MDS_color_2222-333.laz,"POLYGON ((317431.46 7368838.52, 317973.54 7368838.52, 317973.54 7369426.01, 317431.46 7369426.01, 317431.46 7368838.52))"
MDS_color_2222-334.laz,"POLYGON ((317962.29 7368845.21, 318504.35 7368845.21, 318504.35 7369432.67, 317962.29 7369432.67, 317962.29 7368845.21))"
MDS_color_2222-352.laz,"POLYGON ((316999.68 7368255.01, 317450 7368255.01, 317450 7368842.51, 316999.68 7368842.51, 316999.68 7368255.01))"
MDS_color_2222-354.laz,"POLYGON ((317082.44 7367678.2, 317457.28 7367678.2, 317457.28 7368265.7, 317082.44 7368265.7, 317082.44 7367678.2))"
MDS_color_2222-361.laz,"POLYGON ((317438.73 7368261.71, 317980.79 7368261.71, 317980.79 7368849.2, 317438.73 7368849.2, 317438.73 7368261.71))"
MDS_color_2222-362.laz,"POLYGON ((317969.55 7368268.4, 318511.58 7368268.4, 318511.58 7368855.87, 317969.55 7368855.87, 317969.55 7368268.4))"
MDS_color_2222-363.laz,"POLYGON ((317446.01 7367684.9, 317988.05 7367684.9, 317988.05 7368272.39, 317446.01 7368272.39, 317446.01 7367684.9))"
MDS_color_2222-364.laz,"POLYGON ((317976.8 7367691.59, 318518.82 7367691.59, 318518.82 7368279.06, 317976.8 7368279.06, 317976.8 7367691.59))"
MDS_color_2222-411.laz,"POLYGON ((318485.89 7369428.68, 319027.95 7369428.68, 319027.95 7370016.13, 318485.89 7370016.13, 318485.89 7369428.68))"
MDS_color_2222-412.laz,"POLYGON ((319016.75 7369435.33, 319558.78 7369435.33, 319558.78 7370022.75, 319016.75 7370022.75, 319016.75 7369435.33))"
MDS_color_2222-413.laz,"POLYGON ((318493.13 7368851.88, 319035.16 7368851.88, 319035.16 7369439.32, 318493.13 7369439.32, 318493.13 7368851.88))"
MDS_color_2222-414.laz,"POLYGON ((319023.96 7368858.52, 319565.97 7368858.52, 319565.97 7369445.95, 319023.96 7369445.95, 319023.96 7368858.52))"
MDS_color_2222-421.laz,"POLYGON ((319547.6 7369441.96, 320089.61 7369441.96, 320089.61 7370029.36, 319547.6 7370029.36, 319547.6 7369441.96))"
MDS_color_2222-422.laz,"POLYGON ((320078.45 7369448.56, 320620.44 7369448.56, 320620.44 7370035.94, 320078.45 7370035.94, 320078.45 7369448.56))"
MDS_color_2222-423.laz,"POLYGON ((319554.79 7368865.15, 320096.78 7368865.15, 320096.78 7369452.55, 319554.79 7369452.55, 319554.79 7368865.15))"
MDS_color_2222-424.laz,"POLYGON ((320085.62 7368871.76, 320627.58 7368871.76, 320627.58 7369459.14, 320085.62 7369459.14, 320085.62 7368871.76))"
MDS_color_2222-431.laz,"POLYGON ((320609.3 7369455.15, 321151.26 7369455.15, 321151.26 7370042.51, 320609.3 7370042.51, 320609.3 7369455.15))"
MDS_color_2222-432.laz,"POLYGON ((321140.15 7369461.72, 321682.09 7369461.72, 321682.09 7370049.06, 321140.15 7370049.06, 321140.15 7369461.72))"
MDS_color_2222-433.laz,"POLYGON ((320616.45 7368878.35, 321158.39 7368878.35, 321158.39 7369465.71, 320616.45 7369465.71, 320616.45 7368878.35))"
MDS_color_2222-434.laz,"POLYGON ((321147.27 7368884.92, 321689.2 7368884.92, 321689.2 7369472.26, 321147.27 7369472.26, 321147.27 7368884.92))"
MDS_color_2222-441.laz,"POLYGON ((318500.36 7368275.07, 319042.37 7368275.07, 319042.37 7368862.51, 318500.36 7368862.51, 318500.36 7368275.07))"
MDS_color_2222-442.laz,"POLYGON ((319031.17 7368281.72, 319573.16 7368281.72, 319573.16 7368869.14, 319031.17 7368869.14, 319031.17 7368281.72))"
MDS_color_2222-443.laz,"POLYGON ((318507.59 7367698.26, 319049.59 7367698.26, 319049.59 7368285.71, 318507.59 7368285.71, 318507.59 7367698.26))"
